season,season_label,from_group,to_group,total_fee_eur,transfer_count,known_fee_count,unknown_fee_count,free_transfer_count
2016,2016/17,Premier League,Premier League,308650000.0,30,30,0,14
2016,2016/17,Outside Europe / Unknown,Premier League,266810000.0,74,57,17,26
2016,2016/17,Serie A,Serie A,225950000.0,78,78,0,55
2016,2016/17,Outside Europe / Unknown,Bundesliga,216618000.0,78,55,23,25
2016,2016/17,Bundesliga,Premier League,187200000.0,11,11,0,5
2016,2016/17,Outside Europe / Unknown,Serie A,183490000.0,144,131,13,92
2016,2016/17,Bundesliga,Bundesliga,154500000.0,27,27,0,13
2016,2016/17,Serie A,Premier League,152000000.0,13,13,0,9
2016,2016/17,Other Europe,Premier League,119400000.0,23,23,0,13
2016,2016/17,Other Europe,Bundesliga,111050000.0,10,10,0,1
2016,2016/17,Other Europe,Serie A,103470000.0,22,22,0,13
2016,2016/17,Serie A,La Liga,92000000.0,12,12,0,5
2016,2016/17,La Liga,Premier League,91000000.0,16,16,0,12
2016,2016/17,Ligue 1,Premier League,82200000.0,6,6,0,2
2016,2016/17,La Liga,La Liga,80950000.0,47,47,0,41
2016,2016/17,Ligue 1,Bundesliga,64800000.0,6,6,0,0
2016,2016/17,Ligue 1,La Liga,59000000.0,7,7,0,2
2016,2016/17,Outside Europe / Unknown,Ligue 1,58350000.0,79,46,33,27
2016,2016/17,Premier League,Serie A,51600000.0,12,12,0,7
2016,2016/17,Premier League,Outside Europe / Unknown,51480000.0,38,37,1,30
2016,2016/17,Outside Europe / Unknown,La Liga,50810000.0,71,46,25,26
2016,2016/17,Ligue 1,Ligue 1,50700000.0,29,29,0,21
2016,2016/17,Other Europe,Ligue 1,49350000.0,22,21,1,13
2016,2016/17,Other Europe,La Liga,40000000.0,20,20,0,12
2016,2016/17,La Liga,Bundesliga,38750000.0,12,12,0,4
2016,2016/17,Ligue 1,Outside Europe / Unknown,26395000.0,37,32,5,26
2016,2016/17,Bundesliga,Other Europe,21050000.0,7,7,0,2
2016,2016/17,La Liga,Serie A,19450000.0,8,8,0,6
2016,2016/17,Premier League,Bundesliga,16000000.0,5,5,0,3
2016,2016/17,Premier League,Ligue 1,16000000.0,3,3,0,2
2016,2016/17,Premier League,La Liga,15500000.0,13,13,0,9
